Device Name,Device ID,Positioning Type,Speed,Alert Starting Time,Alert Ending Time,Alert Duration,Alert Type,Coordinates,SUMMARY,Source_File,Speed_kmh,Duration_seconds,Hour,DayOfWeek,Longitude,Latitude
KCG 864S - Mitsubishi FH,2.91072E+11,GPS,71 km/h,5/4/2026 16:57,5/4/2026 16:57,0 s,Seatbelt Detection,36.383044/-1.034226,Invalid,KCG 864S -  04.05.2026-10.05.2026.xlsx,71,0,16,Monday,36.383044,-1.034226
KCG 864S - Mitsubishi FH,2.91072E+11,GPS,65 km/h,5/4/2026 16:55,5/4/2026 16:55,0 s,Seatbelt Detection,36.370746/-1.03785,Invalid,KCG 864S -  04.05.2026-10.05.2026.xlsx,65,0,16,Monday,36.370746,-1.03785
KCG 864S - Mitsubishi FH,2.91072E+11,GPS,68 km/h,5/4/2026 16:54,5/4/2026 16:54,0 s,Seatbelt Detection,36.359468/-1.040349,Invalid,KCG 864S -  04.05.2026-10.05.2026.xlsx,68,0,16,Monday,36.359468,-1.040349
KCG 864S - Mitsubishi FH,2.91072E+11,GPS,64 km/h,5/4/2026 16:41,5/4/2026 16:41,0 s,Seatbelt Detection,36.262107/-1.103523,Invalid,KCG 864S -  04.05.2026-10.05.2026.xlsx,64,0,16,Monday,36.262107,-1.103523
KCG 864S - Mitsubishi FH,2.91072E+11,GPS,65 km/h,5/4/2026 16:40,5/4/2026 16:40,0 s,Seatbelt Detection,36.255818/-1.105183,Invalid,KCG 864S -  04.05.2026-10.05.2026.xlsx,65,0,16,Monday,36.255818,-1.105183
KCG 864S - Mitsubishi FH,2.91072E+11,GPS,67 km/h,5/4/2026 16:40,5/4/2026 16:40,0 s,Seatbelt Detection,36.250867/-1.105686,Invalid,KCG 864S -  04.05.2026-10.05.2026.xlsx,67,0,16,Monday,36.250867,-1.105686
KDD 804D - Probox,2.91072E+11,GPS,33 km/h,5/9/2026 22:00,5/9/2026 22:00,0 s,Seatbelt Detection,36.862418/-1.263494,Invalid,KDD 804D - 04.05.2026-10.05.2026.xlsx,33,0,22,Saturday,36.862418,-1.263494
KDD 804D - Probox,2.91072E+11,GPS,30 km/h,5/9/2026 22:00,5/9/2026 22:00,0 s,Seatbelt Detection,36.864122/-1.263014,Invalid,KDD 804D - 04.05.2026-10.05.2026.xlsx,30,0,22,Saturday,36.864122,-1.263014
KDD 804D - Probox,2.91072E+11,GPS,32 km/h,5/9/2026 9:07,5/9/2026 9:07,0 s,Seatbelt Detection,36.862894/-1.263351,Invalid,KDD 804D - 04.05.2026-10.05.2026.xlsx,32,0,9,Saturday,36.862894,-1.263351
KDD 804D - Probox,2.91072E+11,GPS,24 km/h,5/8/2026 12:00,5/8/2026 12:00,0 s,Seatbelt Detection,36.913258/-1.311267,Invalid,KDD 804D - 04.05.2026-10.05.2026.xlsx,24,0,12,Friday,36.913258,-1.311267
KDD 804D - Probox,2.91072E+11,GPS,30 km/h,5/8/2026 12:00,5/8/2026 12:00,0 s,Seatbelt Detection,36.911942/-1.312236,Invalid,KDD 804D - 04.05.2026-10.05.2026.xlsx,30,0,12,Friday,36.911942,-1.312236
KDD 804D - Probox,2.91072E+11,GPS,26 km/h,5/8/2026 11:59,5/8/2026 11:59,0 s,Seatbelt Detection,36.908531/-1.312269,Invalid,KDD 804D - 04.05.2026-10.05.2026.xlsx,26,0,11,Friday,36.908531,-1.312269
KDD 804D - Probox,2.91072E+11,GPS,29 km/h,5/8/2026 11:57,5/8/2026 11:57,0 s,Seatbelt Detection,36.906355/-1.309412,Invalid,KDD 804D - 04.05.2026-10.05.2026.xlsx,29,0,11,Friday,36.906355,-1.309412
KDD 804D - Probox,2.91072E+11,GPS,42 km/h,5/6/2026 12:48,5/6/2026 12:48,0 s,Seatbelt Detection,36.867622/-1.331005,Invalid,KDD 804D - 04.05.2026-10.05.2026.xlsx,42,0,12,Wednesday,36.867622,-1.331005
KDD 804D - Probox,2.91072E+11,GPS,38 km/h,5/6/2026 12:47,5/6/2026 12:47,0 s,Seatbelt Detection,36.86747/-1.33217,Invalid,KDD 804D - 04.05.2026-10.05.2026.xlsx,38,0,12,Wednesday,36.86747,-1.33217
KDD 804D - Probox,2.91072E+11,GPS,95 km/h,5/6/2026 12:18,5/6/2026 12:18,0 s,High-Speed Warning,36.864535/-1.337523,Within limit,KDD 804D - 04.05.2026-10.05.2026.xlsx,95,0,12,Wednesday,36.864535,-1.337523
KDD 804D - Probox,2.91072E+11,GPS,95 km/h,5/6/2026 12:18,5/6/2026 12:18,0 s,High-Speed Warning,36.861807/-1.335735,Within limit,KDD 804D - 04.05.2026-10.05.2026.xlsx,95,0,12,Wednesday,36.861807,-1.335735
KDD 804D - Probox,2.91072E+11,GPS,107 km/h,5/6/2026 12:17,5/6/2026 12:17,0 s,Overspeed Alert(107 km/h),36.853507/-1.330293,Valid,KDD 804D - 04.05.2026-10.05.2026.xlsx,107,0,12,Wednesday,36.853507,-1.330293
KDN 235V - Ashok Leyland,2.91072E+11,GPS,26 km/h,5/4/2026 14:41,5/4/2026 14:41,0 s,Seatbelt Detection,36.874632/-1.33894,Invalid,KDN 235V - 04.05.2026-10.05.2026.xlsx,26,0,14,Monday,36.874632,-1.33894
KDN 235V - Ashok Leyland,2.91072E+11,GPS,36 km/h,5/4/2026 14:40,5/4/2026 14:40,0 s,Seatbelt Detection,36.875951/-1.340349,Invalid,KDN 235V - 04.05.2026-10.05.2026.xlsx,36,0,14,Monday,36.875951,-1.340349
KDN 235V - Ashok Leyland,2.91072E+11,GPS,35 km/h,5/4/2026 14:40,5/4/2026 14:40,0 s,Seatbelt Detection,36.877181/-1.341603,Invalid,KDN 235V - 04.05.2026-10.05.2026.xlsx,35,0,14,Monday,36.877181,-1.341603
KDN 235V - Ashok Leyland,2.91072E+11,GPS,47 km/h,5/4/2026 14:40,5/4/2026 14:40,0 s,Seatbelt Detection,36.87877/-1.342392,Invalid,KDN 235V - 04.05.2026-10.05.2026.xlsx,47,0,14,Monday,36.87877,-1.342392
KDN 235V - Ashok Leyland,2.91072E+11,GPS,42 km/h,5/4/2026 14:39,5/4/2026 14:39,0 s,Seatbelt Detection,36.882387/-1.344121,Invalid,KDN 235V - 04.05.2026-10.05.2026.xlsx,42,0,14,Monday,36.882387,-1.344121
KDN 235V - Ashok Leyland,2.91072E+11,GPS,43 km/h,5/4/2026 14:38,5/4/2026 14:38,0 s,Seatbelt Detection,36.886777/-1.342208,Invalid,KDN 235V - 04.05.2026-10.05.2026.xlsx,43,0,14,Monday,36.886777,-1.342208
KDN 235V - Ashok Leyland,2.91072E+11,GPS,46 km/h,5/4/2026 14:38,5/4/2026 14:38,0 s,Seatbelt Detection,36.886058/-1.340471,Invalid,KDN 235V - 04.05.2026-10.05.2026.xlsx,46,0,14,Monday,36.886058,-1.340471
KDN 235V - Ashok Leyland,2.91072E+11,GPS,60 km/h,5/4/2026 14:37,5/4/2026 14:37,0 s,Seatbelt Detection,36.884085/-1.338301,Invalid,KDN 235V - 04.05.2026-10.05.2026.xlsx,60,0,14,Monday,36.884085,-1.338301
KDN 235V - Ashok Leyland,2.91072E+11,GPS,43 km/h,5/4/2026 14:36,5/4/2026 14:36,0 s,Seatbelt Detection,36.886978/-1.332534,Invalid,KDN 235V - 04.05.2026-10.05.2026.xlsx,43,0,14,Monday,36.886978,-1.332534
KDN 235V - Ashok Leyland,2.91072E+11,GPS,45 km/h,5/4/2026 14:36,5/4/2026 14:36,0 s,Seatbelt Detection,36.888788/-1.331224,Invalid,KDN 235V - 04.05.2026-10.05.2026.xlsx,45,0,14,Monday,36.888788,-1.331224
KDN 235V - Ashok Leyland,2.91072E+11,GPS,44 km/h,5/4/2026 14:35,5/4/2026 14:35,0 s,Seatbelt Detection,36.891125/-1.329528,Invalid,KDN 235V - 04.05.2026-10.05.2026.xlsx,44,0,14,Monday,36.891125,-1.329528
KDN 235V - Ashok Leyland,2.91072E+11,GPS,29 km/h,5/4/2026 14:34,5/4/2026 14:34,0 s,Seatbelt Detection,36.895141/-1.326974,Invalid,KDN 235V - 04.05.2026-10.05.2026.xlsx,29,0,14,Monday,36.895141,-1.326974
KDN 235V - Ashok Leyland,2.91072E+11,GPS,32 km/h,5/4/2026 14:34,5/4/2026 14:34,0 s,Seatbelt Detection,36.89655/-1.326103,Invalid,KDN 235V - 04.05.2026-10.05.2026.xlsx,32,0,14,Monday,36.89655,-1.326103
KDN 235V - Ashok Leyland,2.91072E+11,GPS,29 km/h,5/4/2026 14:33,5/4/2026 14:33,0 s,Seatbelt Detection,36.897757/-1.325343,Invalid,KDN 235V - 04.05.2026-10.05.2026.xlsx,29,0,14,Monday,36.897757,-1.325343
KDN 235V - Ashok Leyland,2.91072E+11,GPS,47 km/h,5/4/2026 14:32,5/4/2026 14:32,0 s,Seatbelt Detection,36.901018/-1.32534,Invalid,KDN 235V - 04.05.2026-10.05.2026.xlsx,47,0,14,Monday,36.901018,-1.32534
KDN 235V - Ashok Leyland,2.91072E+11,GPS,34 km/h,5/4/2026 14:31,5/4/2026 14:31,0 s,Seatbelt Detection,36.89956/-1.323041,Invalid,KDN 235V - 04.05.2026-10.05.2026.xlsx,34,0,14,Monday,36.89956,-1.323041
KDN 235V - Ashok Leyland,2.91072E+11,GPS,43 km/h,5/4/2026 14:30,5/4/2026 14:30,0 s,Seatbelt Detection,36.897001/-1.319015,Invalid,KDN 235V - 04.05.2026-10.05.2026.xlsx,43,0,14,Monday,36.897001,-1.319015
KDN 235V - Ashok Leyland,2.91072E+11,GPS,44 km/h,5/4/2026 14:30,5/4/2026 14:30,0 s,Seatbelt Detection,36.895699/-1.316955,Invalid,KDN 235V - 04.05.2026-10.05.2026.xlsx,44,0,14,Monday,36.895699,-1.316955
KDN 235V - Ashok Leyland,2.91072E+11,GPS,49 km/h,5/4/2026 14:29,5/4/2026 14:29,0 s,Seatbelt Detection,36.894509/-1.315044,Invalid,KDN 235V - 04.05.2026-10.05.2026.xlsx,49,0,14,Monday,36.894509,-1.315044
